key | name | capital | largest_city | bird | flower
AL | Alabama | Montgomery | Birmingham | Yellowhammer | Camellia
AK | Alaska | Juneau | Anchorage | Willow Ptarmigan | Forget-me-not
AZ | Arizona | Phoenix | Phoenix | Cactus Wren | Saguaro Cactus Blossom
AR | Arkansas | Little Rock | Little Rock | Mockingbird | Apple Blossom
CA | California | Sacramento | Los Angeles | California Valley Quail | Golden Poppy
CO | Colorado | Denver | Denver | Lark Bunting | Columbine
CT | Connecticut | Hartford | Bridgeport | American Robin | Mountain Laurel
DE | Delaware | Dover | Wilmington | Blue Hen Chicken | Peach Blossom
FL | Florida | Tallahassee | Jacksonville | Mockingbird | Orange Blossom
GA | Georgia | Atlanta | Atlanta | Brown Thrasher | Cherokee Rose
HI | Hawaii | Honolulu | Honolulu | Nene (Hawaiian Goose) | Hibiscus
ID | Idaho | Boise | Boise | Mountain Bluebird | Syringa
IL | Illinois | Springfield | Chicago | Cardinal | Native violet
IN | Indiana | Indianapolis | Indianapolis | Cardinal | Peony
IA | Iowa | Des Moines | Des Moines | Eastern Goldfinch | Wild Rose
KS | Kansas | Topeka | Wichita | Western Meadowlark | Native Sunflower
KY | Kentucky | Frankfort | Louisville | Kentucky Cardinal | Goldenrod
LA | Louisiana | Baton Rouge | New Orleans | Pelican | Magnolia
ME | Maine | Augusta | Portland | Chickadee | White Pine Cone and Tassel
MD | Maryland | Annapolis | Baltimore | Baltimore Oriole | Black-Eyed Susan
MA | Massachusetts | Boston | Boston | Chickadee | Mayflower
MI | Michigan | Lansing | Detroit | Robin | Apple Blossom
MN | Minnesota | St. Paul | Minneapolis | Common Loon | Pink and White Lady's Slipper
MS | Mississippi | Jackson | Jackson | Mockingbird | Magnolia
MO | Missouri | Jefferson City | Kansas City | Bluebird | Hawthorn
MT | Montana | Helena | Billings | Western Meadowlark | Bitterroot
NE | Nebraska | Lincoln | Omaha | Western Meadowlark | Goldenrod
NV | Nevada | Carson City | Las Vegas | Mountain Bluebird | Sagebrush
NH | New Hampshire | Concord | Manchester | Purple Finch | Purple Lilac
NJ | New Jersey | Trenton | Newark | Eastern Goldfinch | Purple Violet
NM | New Mexico | Santa Fe | Albuquerque | Roadrunner | Yucca Flower
NY | New York | Albany | New York | Bluebird | Rose
NC | North Carolina | Raleigh | Charlotte | Cardinal | Dogwood
ND | North Dakota | Bismarck | Fargo | Western Meadowlark | Wild Prairie Rose
OH | Ohio | Columbus | Columbus | Cardinal | Scarlet Carnation
OK | Oklahoma | Oklahoma City | Oklahoma City | Scissor-Tailed Flycatcher | Mistletoe
OR | Oregon | Salem | Portland | Western Meadowlark | Oregon Grape
PA | Pennsylvania | Harrisburg | Philadelphia | Ruffed Grouse | Mountain Laurel
RI | Rhode Island | Providence | Providence | Rhode Island Red | Violet
SC | South Carolina | Columbia | Columbia | Carolina Wren | Yellow Jessamine
SD | South Dakota | Pierre | Sioux Falls | Ring-Necked Pheasant | American Pasqueflower
TN | Tennessee | Nashville | Memphis | Mockingbird | Iris
TX | Texas | Austin | Houston | Mockingbird | Bluebonnet
UT | Utah | Salt Lake City | Salt Lake City | California Gull | Sego Lily
VT | Vermont | Montpelier | Burlington | Hermit Thrush | Red Clover
VA | Virginia | Richmond | Virginia Beach | Cardinal | Dogwood
WA | Washington | Olympia | Seattle | Willow Goldfinch | Western Rhododendron
WV | West Virginia | Charleston | Charleston | Cardinal | Big Rhododendron
WI | Wisconsin | Madison | Milwaukee | Robin | Wood Violet
WY | Wyoming | Cheyenne | Cheyenne | Meadowlark | Indian Paintbrush
DC | Washington, D.C. | None | Washington | Woodthrush | American Beauty Rose
